frame.time_epoch,tcp.seq,ip.src
"1687805969.429508080","1",195.23.102.214
"1687805969.430935636","348",195.23.102.214
"1687805969.430945205","1696",195.23.102.214
"1687805969.430952468","3044",195.23.102.214
"1687805969.430957287","4392",195.23.102.214
"1687805969.430964341","5740",195.23.102.214
"1687805969.430969998","7088",195.23.102.214
"1687805969.430975167","8436",195.23.102.214
"1687805969.430981313","9784",195.23.102.214
"1687805969.430986621","11132",195.23.102.214
"1687805969.430992348","12480",195.23.102.214
"1687805969.430998843","13828",195.23.102.214
"1687805969.431004011","15176",195.23.102.214
"1687805969.431009249","16524",195.23.102.214
"1687805969.431014487","17872",195.23.102.214
"1687805969.431019306","19220",195.23.102.214
"1687805969.431024125","20568",195.23.102.214
"1687805969.431029922","21916",195.23.102.214
"1687805969.431041167","23264",195.23.102.214
"1687805969.431051294","24612",195.23.102.214
"1687805969.432884209","25960",195.23.102.214
"1687805969.432895593","27308",195.23.102.214
"1687805969.432903694","28656",195.23.102.214
"1687805969.432909491","30004",195.23.102.214
"1687805969.432917104","31352",195.23.102.214
"1687805969.432922761","32700",195.23.102.214
"1687805969.432928907","34048",195.23.102.214
"1687805969.432935682","35396",195.23.102.214
"1687805969.432940990","36744",195.23.102.214
"1687805969.432947136","38092",195.23.102.214
"1687805969.432952444","39440",195.23.102.214
"1687805969.432958031","40788",195.23.102.214
"1687805969.432963269","42136",195.23.102.214
"1687805969.432992323","43484",195.23.102.214
"1687805969.433001542","44832",195.23.102.214
"1687805969.433010552","46180",195.23.102.214
"1687805969.433019072","47528",195.23.102.214
"1687805969.433028152","48876",195.23.102.214
"1687805969.433036882","50224",195.23.102.214
"1687805969.433044844","51572",195.23.102.214
"1687805969.433052945","52920",195.23.102.214
"1687805969.433060628","54268",195.23.102.214
"1687805969.433068380","55616",195.23.102.214
"1687805969.433075923","56964",195.23.102.214
"1687805969.433084793","58312",195.23.102.214
"1687805969.433093802","59660",195.23.102.214
"1687805969.433102463","61008",195.23.102.214
"1687805969.433111822","62356",195.23.102.214
"1687805969.433119783","63704",195.23.102.214
"1687805969.433128444","65052",195.23.102.214
"1687805969.433137593","66400",195.23.102.214
"1687805969.433145625","67748",195.23.102.214
"1687805969.433154145","69096",195.23.102.214
"1687805969.433162317","70444",195.23.102.214
"1687805969.433170907","71792",195.23.102.214
"1687805969.433179917","73140",195.23.102.214
"1687805969.433188926","74488",195.23.102.214
"1687805969.433197657","75836",195.23.102.214
"1687805969.433212323","77184",195.23.102.214
"1687805969.433221403","78532",195.23.102.214
"1687805969.433238095","79880",195.23.102.214
"1687805969.433247593","81228",195.23.102.214
"1687805969.433488825","82576",195.23.102.214
"1687805969.433504469","83924",195.23.102.214
"1687805969.433515155","85272",195.23.102.214
"1687805969.433523676","86620",195.23.102.214
"1687805969.433532196","87968",195.23.102.214
"1687805969.433540787","89316",195.23.102.214
"1687805969.438129570","90664",195.23.102.214
"1687805969.438144097","92012",195.23.102.214
"1687805969.438153665","93360",195.23.102.214
"1687805969.438159951","94708",195.23.102.214
"1687805969.438165608","96056",195.23.102.214
"1687805969.438171824","97404",195.23.102.214
"1687805969.438177481","98752",195.23.102.214
