frame.time_epoch,tcp.seq,ip.src
"1687812895.554747609","1","188.65.126.234"
"1687812895.554967920","1","188.65.126.234"
"1687812895.554969806","1349","188.65.126.234"
"1687812895.554971692","2697","188.65.126.234"
"1687812895.554974067","4045","188.65.126.234"
"1687812895.554975953","4119","188.65.126.234"
"1687812895.554977839","5467","188.65.126.234"
"1687812895.555777568","6815","188.65.126.234"
"1687812895.555779454","8163","188.65.126.234"
"1687812895.555781340","9511","188.65.126.234"
"1687812895.555783714","10859","188.65.126.234"
"1687812895.555785600","12207","188.65.126.234"
"1687812895.555787486","13555","188.65.126.234"
"1687812895.555789442","14903","188.65.126.234"
"1687812895.555791398","16251","188.65.126.234"
"1687812895.555793284","17599","188.65.126.234"
"1687812895.555795240","18947","188.65.126.234"
"1687812895.555797196","20295","188.65.126.234"
"1687812895.555799571","21643","188.65.126.234"
"1687812895.555801387","22991","188.65.126.234"
"1687812895.555803343","24339","188.65.126.234"
"1687812895.555805229","25687","188.65.126.234"
"1687812895.555807604","27035","188.65.126.234"
"1687812895.555809490","28383","188.65.126.234"
"1687812895.555811376","29731","188.65.126.234"
"1687812895.555813262","31079","188.65.126.234"
"1687812895.555815148","32427","188.65.126.234"
"1687812895.556573664","33775","188.65.126.234"
"1687812895.556825618","35123","188.65.126.234"
"1687812895.556827993","36471","188.65.126.234"
"1687812895.556829879","37819","188.65.126.234"
"1687812895.556831835","39167","188.65.126.234"
"1687812895.556833721","40515","188.65.126.234"
"1687812895.556836096","41863","188.65.126.234"
"1687812895.556837912","43211","188.65.126.234"
"1687812895.556839868","44559","188.65.126.234"
"1687812895.556841754","45907","188.65.126.234"
"1687812895.556843640","47255","188.65.126.234"
"1687812895.556846085","48603","188.65.126.234"
"1687812895.556848040","49951","188.65.126.234"
"1687812895.556849926","51299","188.65.126.234"
"1687812895.556851882","52647","188.65.126.234"
"1687812895.556853768","53995","188.65.126.234"
"1687812895.556856143","55343","188.65.126.234"
"1687812895.556858029","56691","188.65.126.234"
"1687812895.556859915","58039","188.65.126.234"
"1687812895.556861871","59387","188.65.126.234"
