frame.time_epoch,tcp.seq
"1686855130.123922079","1"
"1686855130.123924053","1349"
"1686855130.125118487","4294910681"
"1686855130.125119759","4294912029"
"1686855130.126284147","2697"
"1686855130.126285700","4045"
"1686855130.127450699","5393"
"1686855130.127451821","6741"
"1686855130.128611010","8089"
"1686855130.128612262","9437"
"1686855130.129791969","10785"
"1686855130.129793181","12133"
"1686855130.134891782","13481"
"1686855130.134893074","14829"
"1686855130.135514682","4294918769"
"1686855130.135515934","4294924161"
"1686855130.135516986","16177"
"1686855130.135517958","17525"
"1686855130.135518940","4294868893"
"1686855130.135519872","18873"
"1686855130.135649505","20221"
"1686855130.136137743","4294936293"
"1686855130.136718244","4294937641"
"1686855130.137348808","21569"
"1686855130.137349901","22917"
"1686855130.138547411","4294943033"
"1686855130.139433876","24265"
"1686855130.139435189","25613"
"1686855130.140275087","26961"
"1686855130.140276119","28309"
"1686855130.141509988","29657"
"1686855130.141511010","31005"
"1686855130.143178062","32353"
"1686855130.143344535","33701"
"1686855130.143826270","35049"
"1686855130.143827452","36397"
"1686855130.144999645","37745"
"1686855130.145000737","39093"
"1686855130.146183369","40441"
"1686855130.146184371","41789"
"1686855130.148183708","43137"
"1686855130.148337557","44485"
"1686855130.148696030","45833"
"1686855130.148698245","47181"
"1686855130.149682474","48529"
"1686855130.149683696","49877"
"1686855130.150832474","4294956513"
"1686855130.150833627","4294957861"
"1686855130.152042638","51225"
"1686855130.152044662","52573"
"1686855130.153149428","53921"
"1686855130.153150590","55269"
"1686855130.155626533","56617"
"1686855130.155627585","57965"
"1686855130.155935463","4294912029"
"1686855130.156672648","59313"
"1686855130.156673791","60661"
"1686855130.157292283","62009"
"1686855130.157293275","63357"
"1686855130.158482730","64705"
"1686855130.158483852","66053"
"1686855130.159587496","67401"
"1686855130.159588618","68749"
"1686855130.160776239","70097"
"1686855130.160889682","71445"
"1686855130.162673434","18873"
"1686855130.166740597","22917"
"1686855130.176442497","40441"
"1686855130.176444671","41789"
"1686855130.179251485","49877"
"1686855130.180966117","52573"
"1686855130.183869162","59313"
"1686855130.186137454","64705"
"1686855130.188665304","68749"
"1686855130.189533816","71445"
"1686855130.203516741","22917"
"1686855130.206049229","41789"
"1686855130.231430542","71445"
"1686855131.499169776","1"
"1686855131.502692115","1"
"1686855131.502693547","1349"
"1686855131.503155135","2697"
"1686855131.503156187","4045"
"1686855131.529555132","5393"
"1686855131.529699393","6741"
"1686855131.529700585","8089"
"1686855131.530054530","9437"
"1686855131.556284850","10785"
"1686855131.556766254","12133"
"1686855131.556893283","13481"
"1686855131.591561978","71985"
"1686855131.591631358","71985"
"1686855131.592083918","72225"
"1686855131.592085822","73573"
"1686855131.592939456","74921"
"1686855131.592940919","76269"
"1686855131.594100798","77617"
"1686855131.594101900","78965"
"1686855131.595259616","80313"
"1686855131.595260658","81661"
"1686855131.596440124","83009"
"1686855131.596441176","84357"
"1686855131.597611245","85705"
"1686855131.597612186","87053"
"1686855131.598795360","88401"
"1686855131.598796311","89749"
"1686855131.599999152","91097"
"1686855131.600000424","92445"
"1686855131.601122643","93793"
"1686855131.601123655","95141"
"1686855131.602284877","96489"
"1686855131.602285909","97837"
"1686855131.603444626","99185"
"1686855131.603445638","100533"
"1686855131.604622659","101881"
"1686855131.604623641","103229"
"1686855131.605800603","104577"
"1686855131.605801585","105925"
"1686855131.607022940","107273"
"1686855131.607024984","108621"
"1686855131.608197347","109969"
"1686855131.608198679","111317"
"1686855131.609324555","112665"
"1686855131.609325567","114013"
"1686855131.610495736","115361"
"1686855131.610496848","116709"
"1686855131.611668660","118057"
"1686855131.611669752","119405"
"1686855131.612855390","120753"
"1686855131.612856482","122101"
"1686855131.614008847","123449"
"1686855131.614010711","124797"
"1686855131.615192882","126145"
"1686855131.615194245","127493"
"1686855131.616388018","128841"
"1686855131.616389270","130189"
"1686855131.617528792","131537"
"1686855131.617529884","132885"
"1686855131.618689372","134233"
"1686855131.618690444","135581"
"1686855131.619634328","136929"
"1686855131.619635470","138277"
"1686855131.620552393","139625"
"1686855131.620553475","140973"
"1686855131.621503891","142321"
"1686855131.621505023","143669"
"1686855131.622391689","145017"
"1686855131.622392711","146365"
"1686855131.624450548","147713"
"1686855131.624600820","149061"
"1686855131.625082045","150409"
"1686855131.625083117","151757"
"1686855131.625450046","153105"
"1686855131.625451048","154453"
"1686855131.626218671","155801"
"1686855131.626219712","157149"
"1686855131.627996281","158497"
"1686855131.627997423","159845"
"1686855131.628580589","161193"
"1686855131.628581601","162541"
"1686855131.628990549","163889"
"1686855131.628991511","165237"
"1686855131.629926247","166585"
"1686855131.629927259","167933"
"1686855131.630803926","169281"
"1686855131.630804978","170629"
"1686855131.631758610","171977"
"1686855131.631759642","173325"
"1686855131.632738562","174673"
"1686855131.632739674","176021"
"1686855131.633676134","177369"
"1686855131.633677206","178717"
"1686855131.634649773","180065"
"1686855131.634650795","181413"
"1686855131.635563370","182761"
"1686855131.635564452","184109"
"1686855131.636457720","185457"
"1686855131.636458732","186805"
"1686855131.637413727","188153"
"1686855131.637414769","189501"
"1686855131.638344496","190849"
"1686855131.638345498","192197"
"1686855131.639300292","193545"
"1686855131.639301304","194893"
"1686855131.640266347","114013"
"1686855131.641738774","116709"
"1686855131.642054637","196241"
"1686855131.642578983","197589"
"1686855131.642580806","198937"
"1686855131.644287563","200285"
"1686855131.644288725","201633"
"1686855131.645734532","202981"
"1686855131.646477408","204329"
"1686855131.646478390","205677"
"1686855131.648018123","207025"
"1686855131.648186459","208373"
"1686855131.649660209","209721"
"1686855131.649661371","211069"
"1686855131.650756068","212417"
"1686855131.650757090","213765"
"1686855131.651988313","215113"
"1686855131.652143946","216461"
"1686855131.653611614","217809"
"1686855131.653612656","219157"
"1686855131.655385717","220505"
"1686855131.655386819","221853"
"1686855131.655748669","223201"
"1686855131.655749721","224549"
"1686855131.656615027","225897"
"1686855131.656616059","227245"
"1686855131.657793652","159845"
"1686855131.658360357","161193"
"1686855131.658916362","163889"
"1686855131.659509005","169281"
"1686855131.660129070","228593"
"1686855131.660130102","229941"
"1686855131.661302986","231289"
"1686855131.661304048","232637"
"1686855131.662642694","233985"
"1686855131.662643746","235333"
"1686855131.663596967","178717"
"1686855131.664219647","236681"
"1686855131.664220649","238029"
"1686855131.665493892","239377"
"1686855131.665494974","240725"
"1686855131.666552381","242073"
"1686855131.666553393","243421"
"1686855131.667707051","244769"
"1686855131.667708113","246117"
"1686855131.668782892","189501"
"1686855131.669385234","247465"
"1686855131.669386266","248813"
"1686855131.670509998","250161"
"1686855131.670511039","251509"
"1686855131.671642215","252857"
"1686855131.671644389","254205"
"1686855131.672790072","255553"
"1686855131.672791204","256901"
"1686855131.674125291","258249"
"1686855131.674126453","259597"
"1686855131.675288306","260945"
"1686855131.675289519","262293"
"1686855131.676170794","263641"
"1686855131.676171897","264989"
"1686855131.677239583","266337"
"1686855131.677240665","267685"
"1686855131.678424099","269033"
"1686855131.678425181","270381"
"1686855131.679500201","271729"
"1686855131.679501333","273077"
"1686855131.680659980","274425"
"1686855131.680661022","275773"
"1686855131.681844816","277121"
"1686855131.681938993","278469"
"1686855131.682912222","279817"
"1686855131.682913294","281165"
"1686855131.684035543","282513"
"1686855131.684036655","283861"
"1686855131.685120181","212417"
"1686855131.685722693","285209"
"1686855131.685723725","286557"
"1686855131.686837628","287905"
"1686855131.686838640","289253"
"1686855131.687982209","290601"
"1686855131.687983782","291949"
"1686855131.689083989","293297"
"1686855131.689085793","294645"
"1686855131.690183465","229941"
"1686855131.690867891","295993"
"1686855131.690870025","297341"
"1686855131.691861919","298689"
"1686855131.691864023","300037"
"1686855131.693026007","301385"
"1686855131.693028050","302733"
"1686855131.694143056","304081"
"1686855131.694144759","305429"
"1686855131.695285622","306777"
"1686855131.695287316","308125"
"1686855131.696332239","243421"
"1686855131.696928369","309473"
"1686855131.696929592","310821"
"1686855131.698064164","312169"
"1686855131.698065566","313517"
"1686855131.699183337","314865"
"1686855131.699184879","316213"
"1686855131.700338467","317561"
"1686855131.700340110","318909"
"1686855131.701464814","320257"
"1686855131.701466156","321605"
"1686855131.702585289","322953"
"1686855131.702586571","324301"
"1686855131.703718879","325649"
"1686855131.703720161","326997"
"1686855131.704763272","328345"
"1686855131.704765095","329693"
"1686855131.705918362","331041"
"1686855131.705920256","332389"
"1686855131.707873316","333737"
"1686855131.707875189","335085"
"1686855131.708234124","336433"
"1686855131.708235797","337781"
"1686855131.709274829","339129"
"1686855131.709275711","340477"
"1686855131.710484001","341825"
"1686855131.710484913","343173"
"1686855131.711535697","344521"
"1686855131.711538082","345869"
"1686855131.713452790","282513"
"1686855131.713641685","347217"
"1686855131.713643147","348565"
"1686855131.714306294","285209"
"1686855131.714965753","349913"
"1686855131.714966714","351261"
"1686855131.716002871","352609"
"1686855131.716003783","353957"
"1686855131.717478955","355305"
"1686855131.717480258","356653"
"1686855131.718364078","358001"
"1686855131.718365190","359349"
"1686855131.719460709","360697"
"1686855131.719461841","362045"
"1686855131.720616581","297341"
"1686855131.721058061","363393"
"1686855131.721059123","364741"
"1686855131.722171473","366089"
"1686855131.722172505","367437"
"1686855131.723344959","368785"
"1686855131.723346061","370133"
"1686855131.724816854","305429"
"1686855131.724962318","309473"
"1686855131.725556785","371481"
"1686855131.725558979","372829"
"1686855131.726670117","374177"
"1686855131.726671239","375525"
"1686855131.727809928","376873"
"1686855131.727811000","378221"
"1686855131.728884207","379569"
"1686855131.728886131","380917"
"1686855131.730076818","316213"
"1686855131.731123545","317561"
"1686855131.732424960","321605"
"1686855131.732426473","382265"
"1686855131.732427555","383613"
"1686855131.732960998","384961"
"1686855131.732962000","386309"
"1686855131.733958061","387657"
"1686855131.733959183","389005"
"1686855131.735103153","390353"
"1686855131.735104235","391701"
"1686855131.736773993","331041"
"1686855131.736776397","393049"
"1686855131.736778661","394397"
"1686855131.738398455","395745"
"1686855131.738399737","397093"
"1686855131.739154977","398441"
"1686855131.739525172","399789"
"1686855131.740936684","401137"
"1686855131.741077369","402485"
"1686855131.741767095","403833"
"1686855131.741768948","405181"
"1686855131.742390216","406529"
"1686855131.742392149","407877"
"1686855131.743589870","409225"
"1686855131.743591052","410573"
"1686855131.744658919","411921"
"1686855131.744660161","413269"
"1686855131.745837023","414617"
"1686855131.745838225","415965"
"1686855131.747077694","417313"
"1686855131.747079006","418661"
"1686855131.747952327","352609"
"1686855131.748617127","362045"
"1686855131.749085907","363393"
"1686855131.749937658","420009"
"1686855131.749938780","421357"
"1686855131.750841306","422705"
"1686855131.750842358","424053"
"1686855131.751906818","370133"
"1686855131.752701952","425401"
"1686855131.752703104","426749"
"1686855131.753690550","428097"
"1686855131.753691642","429445"
"1686855131.754729001","430793"
"1686855131.754730033","432141"
"1686855131.755857502","433489"
"1686855131.755858894","434837"
"1686855131.756945155","378221"
"1686855131.757574869","436185"
"1686855131.757576011","437533"
"1686855131.758624180","438881"
"1686855131.758625433","440229"
"1686855131.759780714","441577"
"1686855131.759781806","442925"
"1686855131.760867706","321605"
"1686855131.761428540","383613"
"1686855131.762049857","444273"
"1686855131.762051831","445621"
"1686855131.763233442","446969"
"1686855131.763234453","448317"
"1686855131.764235715","389005"
"1686855131.764794775","391701"
"1686855131.765726546","449665"
"1686855131.765727768","451013"
"1686855131.766494269","452361"
"1686855131.766496403","453709"
"1686855131.768921820","455057"
"1686855131.769068336","456405"
"1686855131.769432981","457753"
"1686855131.769434073","459101"
"1686855131.770150579","460449"
"1686855131.770151661","461797"
"1686855131.770910778","402485"
"1686855131.771504804","463145"
"1686855131.771505866","464493"
"1686855131.772606634","409225"
"1686855131.773227381","465841"
"1686855131.773228523","467189"
"1686855131.774671124","413269"
"1686855131.775062118","468537"
"1686855131.775064122","469885"
"1686855131.776047741","471233"
"1686855131.776849147","472581"
"1686855131.777171663","352609"
"1686855131.777724201","473929"
"1686855131.778293751","475277"
"1686855131.778937892","476625"
"1686855131.778939996","477973"
"1686855131.780135192","479321"
"1686855131.780137286","480669"
"1686855131.781072253","482017"
"1686855131.781074647","483365"
"1686855131.783029360","484713"
"1686855131.783030833","486061"
"1686855131.783471361","487409"
"1686855131.783472393","488757"
"1686855131.784415615","490105"
"1686855131.784584793","491453"
"1686855131.785595973","492801"
"1686855131.785597215","494149"
"1686855131.786966178","495497"
"1686855131.787378362","496845"
"1686855131.787823689","498193"
"1686855131.787825572","499541"
"1686855131.790107500","434837"
"1686855131.790109013","500889"
"1686855131.790110556","502237"
"1686855131.790815270","503585"
"1686855131.790816923","504933"
"1686855131.792137194","506281"
"1686855131.792139438","507629"
"1686855131.793009844","508977"
"1686855131.793011327","510325"
"1686855131.795451532","511673"
"1686855131.795591545","513021"
"1686855131.795971990","514369"
"1686855131.795973202","515717"
"1686855131.796337116","517065"
"1686855131.796338238","518413"
"1686855131.797332306","519761"
"1686855131.797333178","521109"
"1686855131.800056285","522457"
"1686855131.800057527","523805"
"1686855131.800736463","525153"
"1686855131.800738517","526501"
"1686855131.801095938","527849"
"1686855131.801098243","529197"
"1686855131.801949142","530545"
"1686855131.801950905","531893"
"1686855131.802959961","533241"
"1686855131.802961494","534589"
"1686855131.804194240","535937"
"1686855131.804195573","537285"
"1686855131.805847537","538633"
"1686855131.805849951","539981"
"1686855131.806284057","409225"
"1686855131.807164301","541329"
"1686855131.807604308","542677"
"1686855131.809131738","544025"
"1686855131.809133852","545373"
"1686855131.810364474","546721"
"1686855131.810366428","548069"
"1686855131.810762142","549417"
"1686855131.810932903","550765"
"1686855131.811471064","552113"
"1686855131.811473048","553461"
"1686855131.812531977","554809"
"1686855131.812533721","556157"
"1686855131.813585036","352609"
"1686855131.814127576","475277"
"1686855131.814521726","477973"
"1686855131.814960681","479321"
"1686855131.815447516","557505"
"1686855131.815449259","558853"
"1686855131.816394345","560201"
"1686855131.816549396","561549"
"1686855131.817410775","562897"
"1686855131.817411997","564245"
"1686855131.818457492","565593"
"1686855131.818459355","566941"
"1686855131.819046178","568289"
"1686855131.819048051","569637"
"1686855131.819958883","570985"
"1686855131.819959865","572333"
"1686855131.820813108","573681"
"1686855131.820814030","575029"
"1686855131.821731744","576377"
"1686855131.821732666","577725"
"1686855131.822641193","579073"
"1686855131.822642035","580421"
"1686855131.823524543","581769"
"1686855131.823525405","583117"
"1686855131.824440805","584465"
"1686855131.824442017","585813"
"1686855131.825314587","587161"
"1686855131.825316610","588509"
"1686855131.826130951","487409"
"1686855131.826710440","513021"
"1686855131.827217082","589857"
"1686855131.827218154","591205"
"1686855131.828032895","592553"
"1686855131.828034167","593901"
"1686855131.828919200","595249"
"1686855131.828920292","596597"
"1686855131.830056988","523805"
"1686855131.830229081","597945"
"1686855131.830230143","599293"
"1686855131.831277191","600641"
"1686855131.831440858","601989"
"1686855131.832114815","603337"
"1686855131.832274435","604685"
"1686855131.832887437","535937"
"1686855131.833464672","606033"
"1686855131.833465764","607381"
"1686855131.834477064","608729"
"1686855131.834478918","610077"
"1686855131.835171680","611425"
"1686855131.835172832","612773"
"1686855131.836098752","614121"
"1686855131.836099934","615469"
"1686855131.836979026","616817"
"1686855131.836980088","618165"
"1686855131.837904104","619513"
"1686855131.837905196","620861"
"1686855131.838757207","622209"
"1686855131.838935151","623557"
"1686855131.839702263","624905"
"1686855131.839704457","626253"
"1686855131.841181522","627601"
"1686855131.841183957","628949"
"1686855131.842674047","630297"
"1686855131.842676191","631645"
"1686855131.844200475","632993"
"1686855131.844201678","634341"
"1686855131.845776757","635689"
"1686855131.845778010","637037"
"1686855131.847155388","561549"
"1686855131.847891511","565593"
"1686855131.848679902","638385"
"1686855131.848681085","639733"
"1686855131.850208525","641081"
"1686855131.850360290","642429"
"1686855131.851663128","643777"
"1686855131.851664270","645125"
"1686855131.852810183","646473"
"1686855131.852811245","647821"
"1686855131.853886025","587161"
"1686855131.854482766","649169"
"1686855131.854483808","650517"
"1686855131.855743305","651865"
"1686855131.855744497","653213"
"1686855131.856717335","654561"
"1686855131.856718558","655909"
"1686855131.857763281","595249"
